date,close,z_score,max_dd_future,risk_eta
2015-01-05,544.45,0.48658885095194115,-0.01977264898380988,1.036588211806926
2015-01-06,549.66,0.3968957790027824,-0.01977264898380988,1.0143236778327873
2015-01-07,552.05,0.3493533448626113,-0.01977264898380988,1.0018773348521555
2015-01-08,553.47,0.38597274649695584,-0.01977264898380988,1.0115017106415534
2015-01-09,569.73,0.17025459072912735,-0.01977264898380988,0.9517252774177434
2015-01-12,574.32,0.02441474821819413,-0.01977264898380988,0.9084597245791763
2015-01-13,580.6,-0.12436597626583651,-0.022937508565163744,0.8481938372036136
2015-01-14,577.01,-0.241749112732133,-0.045035631081266216,0.7036776913072826
2015-01-15,577.74,-0.1997901490374892,-0.045035631081266216,0.7156697537698975
2015-01-16,574.81,-0.09079449362829418,-0.045035631081266216,0.7476580982315317
2015-01-19,571.51,-0.4255363264053765,-0.045035631081266216,0.6543465801175896
2015-01-20,572.22,-0.4288984093372228,-0.045035631081266216,0.6535017598781987
2015-01-21,569.12,-0.29859533906944535,-0.045035631081266216,0.6878138556108289
2015-01-22,574.54,-0.33056196842184327,-0.045035631081266216,0.679114152556866
2015-01-23,582.38,-0.4647340440755143,-0.045035631081266216,0.6446414288028688
2015-01-26,580.64,-0.36226606087642715,-0.045035631081266216,0.670659300973955
2015-01-27,579.3,-0.18264944133525846,-0.045035631081266216,0.7206283228641659
2015-01-28,583.76,-0.32751336136858,-0.045035631081266216,0.6799364481243311
2015-01-29,583.28,-0.24307903255386204,-0.044249759978055046,0.7072306277383464
2015-01-30,576.07,-0.0995393802671906,-0.03228774280903366,0.808797707060027
2015-02-02,570.37,0.01908111971453246,-0.022616897803180352,0.8926391522767927
2015-02-03,557.47,0.34065842995340356,-0.010419633135103487,1.0463213604183033
2015-02-04,561.45,0.31475293501975077,-0.010419633135103487,1.0393282810947067
2015-02-05,567.17,0.17423139884418748,-0.010419633135103487,0.9996486914011352
2015-02-06,574.13,0.017756841831702494,-0.010693049517813353,0.9518612451481804
2015-02-09,573.55,-0.026262418182922364,-0.019903729242658826,0.8926044391895892
2015-02-10,574.52,-0.022446432451089814,-0.019903729242658826,0.8937485547697801
2015-02-11,581.76,-0.18578450315575123,-0.023068338913039894,0.8295554747155379
2015-02-12,584.67,-0.2094730339672915,-0.023068338913039894,0.8227196900190903
2015-02-13,587.24,-0.28133182502048554,-0.023801195889338538,0.798752840625266
2015-02-24,596.95,-0.5058921208782056,-0.03262879128566437,0.69683453376272
2015-02-25,592.66,-0.4093251087968023,-0.03262879128566437,0.7204861973684504
2015-02-26,596.72,-0.5157432048055164,-0.03615982944419467,0.6768784732735655
2015-02-27,592.57,-0.4971201475602386,-0.04438781458718496,0.6401061394743881
2015-03-02,590.73,-0.4406428285740464,-0.04438781458718496,0.6538077850747126
2015-03-03,596.72,-0.5986833115813195,-0.049134729092756374,0.5934927610322172
2015-03-04,600.39,-0.7074035785808153,-0.0548976498609238,0.5427979198023221
2015-03-05,596.91,-0.727699633305205,-0.060277093699217674,0.5121177339926601
2015-03-06,593.97,-0.7379730717307524,-0.06365641362358378,0.4933422387015978
2015-03-09,588.44,-0.6963832841004494,-0.06485093104500901,0.4951252191343729
2015-03-10,589.66,-0.8067915839935472,-0.07541634162059478,0.4225733310784853
2015-03-11,586.54,-0.6687689151296642,-0.07364110580599106,0.4565436228137564
2015-03-12,588.53,-0.8776591830265508,-0.08431175980833604,0.3668677918504091
2015-03-13,586.1,-0.7223706856255891,-0.08051527043166704,0.41191096404706445
2015-03-16,580.8,-0.6089839625855027,-0.07365580308030807,0.468697538011356
2015-03-17,581.76,-0.6988808629147312,-0.07365580308030807,0.45062390379623546
2015-03-18,578.68,-0.5702597258441479,-0.06872537499135963,0.5017081261275602
2015-03-19,573.74,-0.48479234207014865,-0.06348185736132365,0.5475686879192634
2015-03-20,575.44,-0.47697968269459873,-0.06348185736132365,0.5494442686826162
2015-03-23,570.89,-0.34325173086737476,-0.05601779677345902,0.6207978239978504
2015-03-24,567.43,-0.201601088501873,-0.050261706289762585,0.6890174042481368
2015-03-25,560.93,-0.09515054798264573,-0.03925623518086033,0.7752594946223115
2015-03-26,556.16,0.07361937697503157,-0.03101625431530495,0.8669647275043707
2015-03-27,551.42,0.21243109408546204,-0.02268688114323019,0.9493532791140786
2015-03-30,545.19,0.32397415401809104,-0.0221726271478599,0.9830656461133844
2015-03-31,551.13,0.17096737320141395,-0.0221726271478599,0.939933115829575
2015-04-01,538.91,0.33475708036600366,-0.01069819819819827,1.0433456268860908
2015-04-02,546.85,0.19820358588972814,-0.01069819819819827,1.0052034925752455
2015-04-03,547.85,0.16647700712055807,-0.012440174549549637,0.9872859032148488
2015-04-06,542.97,0.30940564241771695,-0.012440174549549637,1.0277680146212784
2015-04-07,548.11,0.17774874768250937,-0.012440174549549637,0.9905691688692225
2015-04-08,547.72,-0.0293746048237905,-0.040892454954954964,0.7867278775424846
2015-04-09,550.52,0.03538465630083679,-0.040892454954954964,0.8061486939127709
2015-04-10,554.03,-0.06474662275319203,-0.040892454954954964,0.7761408355569175
2015-04-13,559.54,-0.05951932091468812,-0.040892454954954964,0.7777029841301399
2015-04-14,558.67,-0.00631858909436695,-0.040892454954954964,0.7936421737232064
2015-04-15,564.5,-0.13269065732315327,-0.040892454954954964,0.7559625202344327
2015-04-16,568.28,-0.31925514790122794,-0.04207136824324338,0.6969931787749392
2015-04-17,568.32,-0.3414955545658984,-0.044869087837837836,0.677010988004015
2015-04-20,565.04,-0.27967297099586325,-0.04056418686038484,0.7153983514720385
2015-04-21,562.24,-0.33487197177229144,-0.0500733513618607,0.6527657502858693
2015-04-22,562.51,-0.466539097703913,-0.06507944924615999,0.5439831335073646
2015-04-23,561.25,-0.3335153144906063,-0.06507944924615999,0.5780999844686932
2015-04-24,565.77,-0.19454143311222064,-0.06507944924615999,0.6169656146515836
2015-04-27,562.4,-0.07259153342589308,-0.05947724039829291,0.6808745098552171
2015-05-04,545.08,0.3457221146290319,-0.04609475032010234,0.8692991238171096
2015-05-05,552.65,0.22254055414343285,-0.04609475032010234,0.8352077017465626
2015-05-06,549.3,0.34893806040521336,-0.04609475032010234,0.8701562760316125
2015-05-07,552.98,0.2745600491335679,-0.04609475032010234,0.8498851021991888
2015-05-08,554.51,0.31666841123249934,-0.04609475032010234,0.8614736630366947
2015-05-11,551.67,0.30392157159370037,-0.04118404118404103,0.8825489762979405
2015-05-12,544.41,0.47454844848416705,-0.028397714957476762,0.9905715374796576
2015-05-13,542.82,0.4545503905193359,-0.027111037539774518,0.9921344840018786
2015-05-14,543.69,0.42935821782924727,-0.027111037539774518,0.985880259037432
2015-05-15,537.44,0.5842829728315421,-0.015797112235784474,1.0787458623338169
2015-05-18,528.95,0.8477309674698836,-0.012313471772931303,1.1453973057647744
2015-05-19,536.82,0.712666554696158,-0.012313471772931303,1.122136512235
2015-05-20,550.1,0.4120854527975065,-0.012313471772931303,1.055505234910488
2015-05-21,552.56,0.37572336233836046,-0.012313471772931303,1.0461289520295494
2015-05-22,561.82,0.312750542296676,-0.012313471772931303,1.0293138300486082
2015-05-25,563.0,0.35132350016642105,-0.012313471772931303,1.039697271966864
2015-05-26,567.2,0.31795498426035484,-0.012313471772931303,1.0307296326111064
2015-05-27,566.48,0.2659927635336973,-0.012313471772931303,1.016400292407797
2015-05-28,572.97,0.1301321405403197,-0.012975719547128655,0.9739421563661356
2015-05-29,569.56,0.1965556410057864,-0.012975719547128655,0.9933402735835378
2015-06-01,574.98,0.1831323570111225,-0.012975719547128655,0.9894550588165386
2015-06-02,570.31,0.38296405543960604,-0.012975719547128655,1.0447050451752007
2015-06-03,567.9,0.39913259523038425,-0.012975719547128655,1.0488833620428886
2015-06-04,568.99,0.33639665447215844,-0.012975719547128655,1.0323984094808443
2015-06-05,578.07,0.14954164504124726,-0.012975719547128655,0.97965244476916
2015-06-08,579.83,0.04999465687107007,-0.0207547805009427,0.9112120110442219
2015-06-09,574.47,0.24484876807915815,-0.0207547805009427,0.9682472036973684
2015-06-10,574.1,0.27214296220591105,-0.0207547805009427,0.9759114186128839
2015-06-11,581.05,0.13840658082649113,-0.0207547805009427,0.9374849508094314
2015-06-12,582.73,0.2694380030894482,-0.0207547805009427,0.9751566431413012
2015-06-15,586.48,0.3405576393413299,-0.0207547805009427,0.994618639841665
2015-06-16,580.35,0.520459014303593,-0.0207547805009427,1.0396423583826597
2015-06-17,578.87,0.5886667598069223,-0.0207547805009427,1.0549069123903052
2015-06-18,580.35,0.491686946478253,-0.0207547805009427,1.0328923918437567
2015-06-19,584.7,0.40165636724717985,-0.0207547805009427,1.0106356939921026
2015-06-22,594.08,0.3056234961948374,-0.0207547805009427,0.9851612207347147
2015-06-23,593.07,0.38147100789747473,-0.019087122936584298,1.0137596670268945
2015-06-24,590.02,0.4657615288912844,-0.014016474017829874,1.0603481371382801
2015-06-25,587.99,0.39759334490202825,-0.012962698526028462,1.0485528635992871
2015-06-26,581.75,0.4276168525979083,-0.018459659615776162,1.028700028614514
2015-06-29,591.75,0.3099141733485604,-0.018459659615776162,0.9978094065431612
2015-06-30,593.05,0.171844054357637,-0.028417542156601933,0.9089639669364187
2015-07-01,591.5,0.17682496217548757,-0.0345707620285272,0.8796476270671121
2015-07-02,605.7,0.1137786220927167,-0.0345707620285272,0.8611332422595344
2015-07-03,616.43,-0.03277732643291705,-0.0345707620285272,0.817316511857156
2015-07-06,625.22,-0.1490552280440747,-0.0345707620285272,0.7827578675065239
2015-07-07,630.27,-0.17315689926929692,-0.0345707620285272,0.7757121497519245
2015-07-08,623.17,-0.10976140926801733,-0.0345707620285272,0.7943493687143344
2015-07-09,622.1,-0.15907731718887225,-0.0345707620285272,0.7798215158427019
2015-07-10,627.28,-0.1937530588652078,-0.0345707620285272,0.769736867437578
2015-07-13,634.06,-0.3480080405010762,-0.0345707620285272,0.7267638528750975
2015-07-14,638.69,-0.5239418121402826,-0.045749894314925904,0.6270295544795365
2015-07-15,630.89,-0.500718767362674,-0.054606112107764525,0.5881647667322105
2015-07-16,626.9,-0.3736833701499099,-0.054606112107764525,0.6198066467293195
2015-07-17,628.63,-0.4756368619640246,-0.054606112107764525,0.5941466822396062
2015-07-20,620.54,-0.3398699938600283,-0.054606112107764525,0.6287610417289624
2015-07-21,616.61,-0.16549447727032712,-0.054606112107764525,0.6777694483163306
2015-07-22,629.85,-0.35311375206575313,-0.054606112107764525,0.6252292149135505
2015-07-23,632.01,-0.4634340264802103,-0.054606112107764525,0.5971057697173918
2015-07-24,631.26,-0.5732018377790477,-0.06483492273313826,0.5205133339266643
2015-07-27,635.46,-0.796131514615414,-0.07306518112863132,0.43611354001071734
2015-07-28,631.47,-0.9145273343229091,-0.09235593139816625,0.32123089954035544
2015-07-29,624.7,-0.7350395846628233,-0.0852578323251992,0.38586918692531474
2015-07-30,626.57,-0.7809371768173908,-0.0852578323251992,0.3777375507597001
2015-07-31,621.06,-0.8282102900825095,-0.0875438765980741,0.35842646311226994
2015-08-03,609.47,-0.7799632032755379,-0.09475534148048105,0.33041761706962797
2015-08-04,600.76,-1.0391728375481497,-0.14254796348428886,0.26673163458955385
2015-08-05,607.08,-1.088430205778915,-0.14254796348428886,0.2611086573921859
2015-08-06,601.04,-0.7896991231116314,-0.14254796348428886,0.3025284331487532
2015-08-07,603.76,-0.7324880257090632,-0.14254796348428886,0.31262445840964237
