date,returns,vol_current,vol_mean,vol_std,vol_shock_k2.0,vol_shock_k2.5,vol_shock_k3.0,vol_shock_k3.5
2015-01-05,,,,,0,0,0,0
2015-01-06,0.009569290109284534,,,,0,0,0,0
2015-01-07,0.004348142488083573,,,,0,0,0,0
2015-01-08,0.002572230776197948,,,,0,0,0,0
2015-01-09,0.0293782860859666,,,,0,0,0,0
2015-01-12,0.008056447791058963,0.01076471026142115,,,0,0,0,0
2015-01-13,0.010934670566931315,0.009628443756547023,,,0,0,0,0
2015-01-14,-0.006183258697898819,0.008961789661993982,,,0,0,0,0
2015-01-15,0.001265142718497092,0.008871608833570174,,,0,0,0,0
2015-01-16,-0.005071485443279067,0.008403319741252413,0.00932597445095695,0.0009153986564950058,0,0,0,0
2015-01-19,-0.005741027469946536,0.007974059221736432,0.009100655246086864,0.0009874088437673708,0,0,0,0
2015-01-20,0.0012423229689770832,0.007859435272047882,0.008923338106938437,0.0010161543987712474,0,0,0,0
2015-01-21,-0.005417496766977781,0.007521818543363048,0.008748148161491514,0.001063292966217409,0,0,0,0
2015-01-22,0.009523474838346813,0.007223824288534571,0.008578778842274074,0.0011168892680727554,0,0,0,0
2015-01-23,0.013645699168030045,0.007123688026116398,0.008433269760658307,0.0011491587963002685,0,0,0,0
2015-01-26,-0.002987739963597691,0.0069887485853919375,0.008301949653815909,0.0011739693438394968,0,0,0,0
2015-01-27,-0.002307798291540375,0.00688646133866534,0.00818399229422003,0.0011915871809894873,0,0,0,0
2015-01-28,0.007698947005006174,0.006668207762320133,0.008067393484073883,0.0012158516967943614,0,0,0,0
2015-01-29,-0.0008222557215293858,0.006652765221911,0.007966348608205106,0.0012278115730572142,0,0,0,0
2015-01-30,-0.01236113016047169,0.006579456407451766,0.007873889128154883,0.0012361522967566704,0,0,0,0
2015-02-02,-0.009894630860832976,0.006429748588750191,0.00778363034444209,0.001247616675634792,0,0,0,0
2015-02-03,-0.022616897803180325,0.007263807334792775,0.007753052520345072,0.0012145609146066011,0,0,0,0
2015-02-04,0.007139397635747224,0.0072145048567760555,0.007723133205702348,0.0011851148381580281,0,0,0,0
2015-02-05,0.010187906314008233,0.007099508426401157,0.007690310848897023,0.0011605767503922635,0,0,0,0
2015-02-06,0.012271453003508626,0.005259487160841564,0.00756876966449425,0.0012535916756560802,0,0,0,0
2015-02-09,-0.0010102241652587551,0.00547092909516378,0.007304080606181382,0.001091692131742047,0,0,0,0
2015-02-10,0.0016912213407724863,0.005547939182293711,0.007100055377468715,0.0010128876195400795,0,0,0,0
2015-02-11,0.012601824131448947,0.0056849628276573905,0.006936214035751885,0.0009595074926280257,0,0,0,0
2015-02-12,0.005002062706270571,0.005536517975660944,0.006769459492856425,0.0008929458174599048,0,0,0,0
2015-02-13,0.004395641986077781,0.005553910001535025,0.006626989005870556,0.0008445427566000591,0,0,0,0
2015-02-24,0.016534977181390964,0.005895310421476825,0.006523051565857574,0.0007965878694864192,0,0,0,0
2015-02-25,-0.0071865315353045744,0.005684477457422437,0.006414303675126303,0.0007517437795882234,0,0,0,0
2015-02-26,0.006850470758951177,0.005655657290157636,0.006320995612466032,0.000722280116085401,0,0,0,0
2015-02-27,-0.00695468561469359,0.005656451227142087,0.006242626959396408,0.0007039650657379553,0,0,0,0
2015-03-02,-0.0031051183826383832,0.005614035896014709,0.006167144352891323,0.0006852074255975709,0,0,0,0
2015-03-03,0.010139996275794427,0.005526453902877913,0.006094029618765622,0.0006707894232578344,0,0,0,0
2015-03-04,0.0061502882423916105,0.0053816310811864694,0.006018788105891679,0.0006615591033463248,0,0,0,0
2015-03-05,-0.005796232448908256,0.005408279615888325,0.005955791698570088,0.0006564318330220643,0,0,0,0
2015-03-06,-0.004925365633009937,0.00518965933377776,0.005882636404163427,0.0006561973805606682,0,0,0,0
2015-03-09,-0.009310234523629113,0.005109485933766823,0.005809137880479179,0.0006563643049747768,0,0,0,0
2015-03-10,0.0020732784990822317,0.005268839242901922,0.005751092413186765,0.0006498925966787334,0,0,0,0
2015-03-11,-0.00529118475053425,0.003967632151209479,0.005586283654007601,0.0006638814449923627,0,0,0,0
2015-03-12,0.0033927779861562257,0.00404496442428625,0.005427806632383111,0.0006323013206659621,0,0,0,0
2015-03-13,-0.004128931405365854,0.0040000682619405845,0.005272834624160082,0.0005785561766773901,0,0,0,0
2015-03-16,-0.009042825456406889,0.0038131494532586416,0.005200517738780936,0.0006643447799786741,0,0,0,0
2015-03-17,0.0016528925619836432,0.0037688616003952176,0.005115414364042508,0.0007333194556295888,0,0,0,0
2015-03-18,-0.005294279427942916,0.0036195517683113953,0.005018994993343392,0.0007974295660062221,0,0,0,0
2015-03-19,-0.008536669661989293,0.0033634425203946106,0.004902918977980253,0.0008617562346001039,0,0,0,0
2015-03-20,0.0029630146059191897,0.0034346307533582826,0.00479782461686512,0.000907378481801991,0,0,0,0
2015-03-23,-0.00790699290977348,0.003428020299362611,0.004691530131756499,0.0009381422539296359,0,0,0,0
2015-03-24,-0.006060712221268583,0.002453649614437102,0.004519447091404513,0.0010179669535505375,0,0,0,0
2015-03-25,-0.01145515746435688,0.0027454204416944732,0.004372494240618114,0.0010524870206713355,0,0,0,0
2015-03-26,-0.008503734868878454,0.002795179956361094,0.004229470373928288,0.0010632409752041987,0,0,0,0
2015-03-27,-0.008522727272727293,0.0028410196321811063,0.004088698794180239,0.0010506723263359217,0,0,0,0
2015-03-30,-0.01129810307932233,0.0029576463654110573,0.003955879317650056,0.0010149965119128931,0,0,0,0
2015-03-31,0.010895284212843137,0.003009296978621964,0.003830021471437258,0.0009648193207577429,0,0,0,0
2015-04-01,-0.022172627147859947,0.0045860568112872525,0.003790242757942297,0.0009124605325431868,0,0,0,0
2015-04-02,0.014733443432113136,0.0048434818673824655,0.003762002870517004,0.0008673741306737105,0,0,0,0
2015-04-03,0.0018286550242296862,0.00499109699765862,0.0037520747537110473,0.0008511576579451588,0,0,0,0
2015-04-06,-0.008907547686410555,0.0049852940088185626,0.0037458651574636343,0.0008411274154875791,0,0,0,0
2015-04-07,0.009466453026870658,0.004814718718323279,0.0037231591312347025,0.0008031221264446664,0,0,0,0
2015-04-08,-0.0007115360055462983,0.005058212940944808,0.0037776881707214686,0.0008558846191328024,0,0,0,0
2015-04-09,0.005112101073541098,0.004992229462250022,0.0038250514226196575,0.0008966909795873979,0,0,0,0
2015-04-10,0.006375790162028716,0.004926332994527386,0.003871364659248998,0.0009295253863476639,0,0,0,0
2015-04-13,0.0099453098207678,0.004939808184053756,0.003927697595788753,0.0009594693158785218,0,0,0,0
2015-04-14,-0.0015548486256568017,0.004946604831344843,0.003986584757336234,0.000985009621098326,0,0,0,0
2015-04-15,0.010435498594877135,0.004925999835795813,0.004051907160710456,0.0010025515413032812,0,0,0,0
2015-04-16,0.006696191319751854,0.004939880476753745,0.004130729058528413,0.001007533138646574,0,0,0,0
2015-04-17,7.038783698187778e-05,0.005141878104397659,0.004216091426080381,0.0010177237850524784,0,0,0,0
2015-04-20,-0.005771396396396566,0.005168914570682696,0.0043031361396463855,0.001021215801501668,0,0,0,0
2015-04-21,-0.0049554013875122704,0.005196865134918915,0.004440296915670476,0.0009407903198338006,0,0,0,0
2015-04-22,0.0004802219692656706,0.005385566053620111,0.004572304196266757,0.0008732592046158825,0,0,0,0
2015-04-23,-0.0022399601784857115,0.005500248982023836,0.004707557647549895,0.0007889397338785362,0,0,0,0
2015-04-24,0.008053452115812876,0.0054948975695246274,0.004840251544417071,0.0006731652942689858,0,0,0,0
2015-04-27,-0.005956484083638247,0.0054084874866531015,0.0049627936004791725,0.0005174958667878067,0,0,0,0
2015-05-04,-0.03079658605974389,0.007589199730528372,0.005191788738074494,0.0006122143638255988,1,1,1,1
2015-05-05,0.013887869670506925,0.0069645705357316776,0.005310714424296715,0.0007113478635409049,1,0,0,0
2015-05-06,-0.006061702705147942,0.006750568049647708,0.005406068733409977,0.0007707591333493166,0,0,0,0
2015-05-07,0.006699435645366902,0.006642494256712993,0.005488638596362696,0.0008113508579435328,0,0,0,0
2015-05-08,0.0027668270100182912,0.006701504788186294,0.005574449135331083,0.0008453567833675857,0,0,0,0
2015-05-11,-0.005121638924455829,0.006684394439853674,0.005667932921407602,0.0008601694337331429,0,0,0,0
2015-05-12,-0.01316004132905535,0.0066785053402679435,0.005748947541373759,0.0008758805622153716,0,0,0,0
2015-05-13,-0.002920592935471311,0.006734160124907221,0.005836044074506618,0.0008832497974100289,0,0,0,0
2015-05-14,0.0016027412401902197,0.006848419658351646,0.005932148407697831,0.0008836254000434891,0,0,0,0
2015-05-15,-0.011495521344884074,0.006892629684002715,0.006029789482695279,0.0008760615418353428,0,0,0,0
2015-05-18,-0.015797112235784505,0.007030837394877931,0.006134001110871934,0.0008643159553017676,0,0,0,0
2015-05-19,0.014878532942622202,0.0071886299548004256,0.006247132616822164,0.0008457571975294343,0,0,0,0
2015-05-20,0.024738273536753397,0.008095178415910573,0.006404897513780006,0.0008825611465280282,0,0,0,0
2015-05-21,0.004471914197418547,0.00790077885449277,0.006542842551284761,0.0008903351131198564,0,0,0,0
2015-05-22,0.016758361082959583,0.008038452266348901,0.006686319436068072,0.0008884846251668387,0,0,0,0
2015-05-25,0.0021003168274535966,0.008150632999424198,0.006834007829293337,0.0008732334504510742,0,0,0,0
2015-05-26,0.00746003552397867,0.007889371203439766,0.006959198086784318,0.000833210429707957,0,0,0,0
2015-05-27,-0.0012693935119887367,0.007941447631770257,0.00708125801927164,0.0007856898383377142,0,0,0,0
2015-05-28,0.011456715153226993,0.007938518563694907,0.007203439068980154,0.0007126176322331328,0,0,0,0
2015-05-29,-0.005951445974483938,0.00793865270274353,0.007329947329784675,0.0005914858635566179,0,0,0,0
2015-06-01,0.009516117704895244,0.00624595791987914,0.007262785239252214,0.0006351486073254291,0,0,0,0
2015-06-02,-0.008122021635535326,0.006135994078391377,0.007221356416385198,0.0006809923362222975,0,0,0,0
2015-06-03,-0.0042257719485893075,0.0061897387734614045,0.007193314952575883,0.0007122288026426345,0,0,0,0
2015-06-04,0.0019193519985913898,0.006354070471323863,0.007178893763306426,0.0007267409559947696,0,0,0,0
2015-06-05,0.0159581011968577,0.006435070896729122,0.007165572068733568,0.0007383024197667319,0,0,0,0
2015-06-08,0.0030446139740860634,0.006516288741541926,0.0071571667838179805,0.0007449953284833807,0,0,0,0
2015-06-09,-0.009244088784643778,0.00643808794939405,0.007145145914274287,0.0007549977454223044,0,0,0,0
2015-06-10,-0.0006440719271676443,0.006563553680629639,0.007136615592060407,0.0007608269460712897,0,0,0,0
2015-06-11,0.012105904894617492,0.006397991526466617,0.007114094185466155,0.0007763158450576368,0,0,0,0
2015-06-12,0.002891317442560881,0.006513687835788384,0.00709514709305544,0.0007865621716509206,0,0,0,0
2015-06-15,0.006435227292227896,0.006304376810038243,0.0070588240638134545,0.0008062164918121907,0,0,0,0
2015-06-16,-0.010452189332969541,0.0061314129280034685,0.007005963212473607,0.0008315195998934133,0,0,0,0
2015-06-17,-0.0025501852330490626,0.0047928986527722975,0.0068408492243166915,0.0009263137032412322,0,0,0,0
2015-06-18,0.002556705305163609,0.004861115168639961,0.0066888660400240526,0.0009904013754019564,0,0,0,0
2015-06-19,0.007495476867407591,0.004259748089212467,0.006499930831167231,0.0010761115080481,0,0,0,0
