date,close,atr,atr_price_ratio,dynamic_threshold,future_return,intra_drawdown,direction_label
2015-01-05,544.45,5.440000000000055,0.009991734778216648,0.02,0.069666636054734,0.009569290109284534,2
2015-01-06,549.66,8.365000000000009,0.015218498708292416,0.030436997416584833,0.05636211476185271,0.004348142488083573,2
2015-01-07,552.05,8.040000000000001,0.01456389819762703,0.02912779639525406,0.04936147088126086,0.002572230776197948,2
2015-01-08,553.47,7.217500000000001,0.013040453863804724,0.02608090772760945,0.05472744683542019,0.028276148662077505,2
2015-01-09,569.73,9.448000000000002,0.016583293840942204,0.03316658768188441,0.02378319554876862,-0.0010706826040405293,1
2015-01-12,574.32,9.540000000000001,0.016610948600083577,0.033221897200167154,0.0030470817662626715,-0.009054185819752147,1
2015-01-13,580.6,9.232857142857142,0.015902268589144234,0.03180453717828847,-0.017619703754736538,-0.019772648983809926,1
2015-01-14,577.01,9.396250000000009,0.01628437982010712,0.03256875964021424,-0.0338642311225108,-0.0338642311225108,0
2015-01-15,577.74,9.005555555555564,0.015587557648000076,0.03117511529600015,-0.028196074358707968,-0.035084986326028966,1
2015-01-16,574.81,8.548000000000002,0.014871000852455598,0.029742001704911196,-0.013291348445573337,-0.030166489796628282,1
2015-01-19,571.51,8.58545454545454,0.01502240476186688,0.03004480952373376,0.004584346730590827,-0.02456649927385346,1
2015-01-20,572.22,8.271666666666667,0.014455395943285215,0.02891079188657043,0.002324280870993567,-0.025776799133200523,1
2015-01-21,569.12,8.04230769230769,0.01413112821954542,0.02826225643909084,0.009488332864773685,-0.020470199606409833,1
2015-01-22,574.54,8.086428571428566,0.014074613728249672,0.028149227456499344,0.01256657499912972,-0.02971072510182049,1
2015-01-23,582.38,8.34285714285714,0.014325452699023215,0.02865090539804643,0.003932140526803796,-0.04277276005357322,1
2015-01-26,580.64,7.973571428571428,0.013732383970397196,0.02746476794079439,0.011366767704601877,-0.03990424359327627,1
2015-01-27,579.3,8.072857142857142,0.013935537964538482,0.027871075929076963,0.030467805972725914,-0.03768341101329176,2
2015-01-28,583.76,8.144999999999998,0.01395265177470193,0.02790530354940386,0.015245991503357592,-0.04503563108126618,1
2015-01-29,583.28,7.210714285714281,0.012362354762231315,0.02472470952446263,0.0230421067068991,-0.044249759978055025,1
2015-01-30,576.07,7.183571428571424,0.012469962727743892,0.024939925455487785,0.028642352491884626,-0.03228774280903368,2
2015-02-02,570.37,7.324285714285712,0.01284128848692202,0.02568257697384404,0.03569612707540726,-0.022616897803180325,2
2015-02-03,557.47,7.811428571428564,0.014012285094137019,0.028024570188274037,0.07040737618167792,0.007139397635747224,2
2015-02-04,561.45,7.997142857142852,0.014243731155299406,0.028487462310598812,0.06935613144536457,0.010187906314008233,2
2015-02-05,567.17,8.164285714285711,0.014394777076160077,0.028789554152320155,0.0524357776328086,0.011248831919882907,2
2015-02-06,574.13,8.037857142857149,0.014000064694158378,0.028000129388316756,0.034556633515057555,-0.0010102241652587551,2
2015-02-09,573.55,7.807142857142862,0.013611965577792456,0.027223931155584913,0.025961119344434014,0.0016912213407724863,1
2015-02-10,574.52,7.777142857142865,0.013536766095423772,0.027073532190847543,0.02635243333565418,0.012601824131448947,1
2015-02-11,581.76,7.675714285714297,0.013193953323903839,0.026387906647807678,0.008216446644664366,0.005002062706270571,1
2015-02-12,584.67,7.261428571428577,0.012419704399795744,0.024839408799591487,0.006602014811774248,0.003198385413994309,1
2015-02-13,587.24,7.135000000000007,0.012150057897963366,0.02430011579592673,-0.0019412846536339678,-0.0019412846536339678,1
2015-02-24,596.95,7.2014285714285835,0.01206370478503825,0.0241274095700765,-0.027054192143395772,-0.027054192143395772,0
2015-02-25,592.66,7.425000000000011,0.012528262410150865,0.02505652482030173,-0.01839165794890829,-0.02001147369486722,1
2015-02-26,596.72,7.425000000000019,0.012443021852795312,0.024886043705590624,-0.03023193457568052,-0.03023193457568052,0
2015-02-27,592.57,7.296428571428586,0.0123131926547557,0.0246263853095114,-0.031776836491891336,-0.031776836491891336,0
2015-03-02,590.73,6.994285714285728,0.011840071969064933,0.023680143938129866,-0.025883229224857307,-0.028761024495116194,0
2015-03-03,596.72,6.25642857142859,0.010484697297607906,0.020969394595215813,-0.043286633596997026,-0.043286633596997026,0
2015-03-04,600.39,6.032857142857162,0.01004823055490125,0.0200964611098025,-0.054897649860923825,-0.054897649860923825,0
2015-03-05,596.91,5.9528571428571615,0.009972788431852644,0.02,-0.06027709369921763,-0.06027709369921763,0
2015-03-06,593.97,5.8407142857143,0.009833348966638551,0.02,-0.06365641362358376,-0.06365641362358376,0
2015-03-09,588.44,6.373571428571446,0.010831302135428328,0.021662604270856655,-0.06291210658690793,-0.06291210658690793,0
2015-03-10,589.66,6.367857142857157,0.010799201476880163,0.021598402953760327,-0.07541634162059474,-0.07541634162059474,0
2015-03-11,586.54,6.141428571428581,0.010470604854619602,0.020941209709239204,-0.060370989190847935,-0.07049817574248973,0
2015-03-12,588.53,6.2100000000000035,0.01055171359149067,0.02110342718298134,-0.08431175980833605,-0.08431175980833605,0
2015-03-13,586.1,6.302857142857143,0.010753893777268628,0.021507787554537257,-0.06696809418188021,-0.08051527043166706,0
2015-03-16,580.8,6.409285714285716,0.011035271546635186,0.022070543093270372,-0.05673209366391174,-0.07212465564738291,0
2015-03-17,581.76,5.987857142857146,0.010292658730158735,0.02058531746031747,-0.06667698019801971,-0.07365580308030806,0
2015-03-18,578.68,5.846428571428565,0.01010304239204494,0.02020608478408988,-0.05282712379899068,-0.06872537499135967,0
2015-03-19,573.74,5.773571428571431,0.010063044983043593,0.020126089966087186,-0.04535155296824345,-0.06070694042597702,0
2015-03-20,575.44,5.810000000000002,0.010096621715556794,0.02019324343111359,-0.043305991936605115,-0.06348185736132361,0
2015-03-23,570.89,5.947142857142849,0.01041731832251896,0.02083463664503792,-0.02953283469670165,-0.05601779677345897,0
2015-03-24,567.43,6.194999999999985,0.010917646229490837,0.021835292458981675,-0.013904798829811549,-0.050261706289762564,1
2015-03-25,560.93,6.400714285714271,0.011410896699613626,0.022821793399227252,-0.004029023229279893,-0.0392562351808603,1
2015-03-26,556.16,6.552142857142834,0.011781039372020343,0.023562078744040687,0.014995684695051859,-0.03101625431530497,1
2015-03-27,551.42,6.725714285714259,0.012197080783639076,0.024394161567278153,0.03057560480214727,-0.022686881143230142,2
2015-03-30,545.19,7.039999999999972,0.012912929437443774,0.025825858874887548,0.04242557640455624,-0.011518920009538136,2
2015-03-31,551.13,7.309999999999978,0.013263658302033963,0.026527316604067926,0.025239054306606334,-0.022172627147859947,1
2015-04-01,538.91,8.038571428571418,0.014916352319629286,0.02983270463925857,0.04329108756564182,0.007533725482919307,2
2015-04-02,546.85,8.347857142857135,0.015265350905837314,0.030530701811674627,0.028636737679436752,-0.007095181494011116,1
2015-04-03,547.85,7.982142857142841,0.014569942241750188,0.029139884483500376,0.02445924979465186,-0.008907547686410555,1
2015-04-06,542.97,8.219285714285693,0.015137642437493219,0.030275284874986437,0.04199127023592464,0.008748181299151003,2
