total_samples,rebalance_days,rebalance_ratio,avg_turnover_rate,avg_penalty_ratio,positive_advantage_ratio,avg_advantage,total_raw_return,total_net_reward,total_penalty,alpha_turnover,alpha_change,config_name,composite_score,error
512.0,42.0,0.08203125,0.9404761739756362,0.2657808017754875,0.4375,-0.0011532567673384554,4.380444500900916,3.1954445258743323,1.1849999910593016,0.01,0.01,alpha_t0.010_c0.010,0.453294814380999,
384.0,30.0,0.078125,0.9299999839448052,1.0985669386421006,0.4609375,-0.006560945123055713,4.078087121917629,0.6370870960818104,3.4409999750057834,0.01,0.056666666666666664,alpha_t0.010_c0.057,0.2045256662745705,
384.0,30.0,0.078125,0.9299999839448052,1.9299148922090954,0.4609375,-0.013342194556268316,4.078087121917629,-1.9669126788212488,6.044999956091242,0.01,0.10333333333333332,alpha_t0.010_c0.103,0.1732812580275974,
384.0,30.0,0.078125,0.9299999839448052,2.7612628457760913,0.4609375,-0.02012344599764522,4.078087121917629,-4.57091323230998,8.648999937176704,0.01,0.15,alpha_t0.010_c0.150,0.1732812580275974,
384.0,30.0,0.078125,0.9299999916036292,0.6828929618586027,0.4635416666666667,-0.003170320096008553,4.078087121917629,1.9390871176437907,2.138999984463053,0.056666666666666664,0.01,alpha_t0.057_c0.010,0.26916037998741493,
384.0,30.0,0.078125,0.9299999916036292,1.5142409154255976,0.4609375,-0.00995157040718671,4.078087121917629,-0.6649130055739114,4.7429999655485116,0.056666666666666664,0.056666666666666664,alpha_t0.057_c0.057,0.17328125419818538,
384.0,30.0,0.078125,0.9299999916036292,2.3455888689925923,0.4609375,-0.016732819947113356,4.078087121917629,-3.2689128140045836,7.346999946633971,0.056666666666666664,0.10333333333333332,alpha_t0.057_c0.103,0.17328125419818538,
384.0,30.0,0.078125,0.9299999916036292,3.1769368225595884,0.4609375,-0.0235140710392443,4.078087121917629,-5.872913248284025,9.950999927719433,0.056666666666666664,0.15,alpha_t0.057_c0.150,0.17328125419818538,
384.0,30.0,0.078125,0.9299999923448067,1.0985669386421006,0.4609375,-0.006560944725303364,4.078087121917629,0.637087254406648,3.440999975005784,0.10333333333333332,0.01,alpha_t0.103_c0.010,0.2045256698392316,
384.0,30.0,0.078125,0.9299999923448067,1.9299148922090954,0.4609375,-0.01334219500252705,4.078087121917629,-1.9669128501846025,6.044999956091242,0.10333333333333332,0.056666666666666664,alpha_t0.103_c0.057,0.17328125382759665,
384.0,30.0,0.078125,0.9299999923448067,2.761262845776091,0.4609375,-0.02012344467827157,4.078087121917629,-4.5709127256704996,8.6489999371767,0.10333333333333332,0.10333333333333332,alpha_t0.103_c0.103,0.17328125382759665,
384.0,30.0,0.078125,0.9299999923448067,3.592610799343086,0.4609375,-0.026904695653987194,4.078087121917629,-7.174913100345297,11.252999918262162,0.10333333333333332,0.15,alpha_t0.103_c0.150,0.17328125382759665,
384.0,30.0,0.078125,0.9299999926248069,1.5142409154255982,0.4609375,-0.00995157031017394,4.078087121917629,-0.6649129590077829,4.742999965548515,0.15,0.01,alpha_t0.150_c0.010,0.17328125368759653,
,,,,,,,,,,0.15,0.056666666666666664,,-999.0,[Errno 32] Broken pipe
,,,,,,,,,,0.15,0.10333333333333332,,-999.0,[Errno 32] Broken pipe
,,,,,,,,,,0.15,0.15,,-999.0,[Errno 32] Broken pipe
